"DS1TSELE.Code.or.Value","DS1TSELE.Value.Description","DS1TSELE.Count","DS1TSELE.Cumulative","DS1TSELE.Skip.to.Item"
"1 to 283","Range of Values",827,827,NA
".","Missing",8717,9544,NA
