"BIXC067K.Code.or.Value","BIXC067K.Value.Description","BIXC067K.Count","BIXC067K.Cumulative","BIXC067K.Skip.to.Item"
"33.47 to 162.14","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
