"RFXT037.Code.or.Value","RFXT037.Value.Description","RFXT037.Count","RFXT037.Cumulative","RFXT037.Skip.to.Item"
"310 to 318","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
