"BMXCALF.Code.or.Value","BMXCALF.Value.Description","BMXCALF.Count","BMXCALF.Cumulative","BMXCALF.Skip.to.Item"
"20.2 to 75.6","Range of Values",7386,7386,NA
".","Missing",2564,9950,NA
