"VIQ070.Code.or.Value","VIQ070.Value.Description","VIQ070.Count","VIQ070.Cumulative","VIQ070.Skip.to.Item"
"1","Yes",460,460,NA
"2","No",1950,2410,NA
"7","Refused",3,2413,NA
"9","Don't know",5,2418,NA
".","Missing",2,2420,NA
