"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 49","Range of Values",355,355,NA
"77","Refused",0,355,NA
"99","Don't know",5,360,NA
".","Missing",3157,3517,NA
