"DR1TMAGN.Code.or.Value","DR1TMAGN.Value.Description","DR1TMAGN.Count","DR1TMAGN.Cumulative","DR1TMAGN.Skip.to.Item"
"7 to 1480","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
