"DRD370TQ.Code.or.Value","DRD370TQ.Value.Description","DRD370TQ.Count","DRD370TQ.Cumulative","DRD370TQ.Skip.to.Item"
"1 to 25","Range of Values",1277,1277,NA
".","Missing",8976,10253,NA
