"DRQSDIET.Code.or.Value","DRQSDIET.Value.Description","DRQSDIET.Count","DRQSDIET.Cumulative","DRQSDIET.Skip.to.Item"
"1","Yes",973,973,""
"2","No",8820,9793,"DR1TNUMF"
"9","Don't know",24,9817,"DR1TNUMF"
".","Missing",436,10253,""
