"AUDTYL23.Code.or.Value","AUDTYL23.Value.Description","AUDTYL23.Count","AUDTYL23.Cumulative","AUDTYL23.Skip.to.Item"
"0 to 1.84","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
