"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",722,722,""
"2","No",2977,3699,"DRD350C"
".","Missing",5845,9544,""
