"PAQ635.Code.or.Value","PAQ635.Value.Description","PAQ635.Count","PAQ635.Cumulative","PAQ635.Skip.to.Item"
"1","Yes",2047,2047,""
"2","No",5099,7146,"PAQ650"
"7","Refused",0,7146,"PAQ650"
"9","Don't know",1,7147,"PAQ650"
".","Missing",2337,9484,""
