"TYXA130.Code.or.Value","TYXA130.Value.Description","TYXA130.Count","TYXA130.Cumulative","TYXA130.Skip.to.Item"
"0.09 to 6.687","Range of Values",8133,8133,NA
".","Missing",336,8469,NA
