"DS1TFIBE.Code.or.Value","DS1TFIBE.Value.Description","DS1TFIBE.Count","DS1TFIBE.Cumulative","DS1TFIBE.Skip.to.Item"
"0.03 to 18","Range of Values",144,144,NA
".","Missing",9400,9544,NA
