"MCQ260GH.Code.or.Value","MCQ260GH.Value.Description","MCQ260GH.Count","MCQ260GH.Cumulative","MCQ260GH.Skip.to.Item"
"8","Sister",39,39,NA
".","Missing",9606,9645,NA
