"OHQ490h.Code.or.Value","OHQ490h.Value.Description","OHQ490h.Count","OHQ490h.Cumulative","OHQ490h.Skip.to.Item"
"1","Checked",155,155,NA
"77","Refused",0,155,NA
"99","Don't know",8,163,NA
".","Missing",8684,8847,NA
