"LBXV2A.Code.or.Value","LBXV2A.Value.Description","LBXV2A.Count","LBXV2A.Cumulative","LBXV2A.Skip.to.Item"
"0.0071 to 0.057","Range of Values",2767,2767,NA
".","Missing",648,3415,NA
