"WHQ580.Code.or.Value","WHQ580.Value.Description","WHQ580.Count","WHQ580.Cumulative","WHQ580.Skip.to.Item"
"1","never,",146,146,NA
"2","sometimes, or",562,708,NA
"3","a lot?",145,853,NA
"7","Refused",0,853,NA
"9","Don't know",1,854,NA
".","Missing",975,1829,NA
