"DR1TP204.Code.or.Value","DR1TP204.Value.Description","DR1TP204.Count","DR1TP204.Cumulative","DR1TP204.Skip.to.Item"
"0 to 1.425","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
