"DS2ANCNT.Code.or.Value","DS2ANCNT.Value.Description","DS2ANCNT.Count","DS2ANCNT.Cumulative","DS2ANCNT.Skip.to.Item"
"0 to 2","Range of Values",7838,7838,NA
".","Missing",1924,9762,NA
