"DMDMARTL.Code.or.Value","DMDMARTL.Value.Description","DMDMARTL.Count","DMDMARTL.Cumulative","DMDMARTL.Skip.to.Item"
"1","Married",2683,2683,NA
"2","Widowed",467,3150,NA
"3","Divorced",571,3721,NA
"4","Separated",204,3925,NA
"5","Never married",1188,5113,NA
"6","Living with partner",440,5553,NA
"77","Refused",6,5559,NA
"99","Don't Know",1,5560,NA
".","Missing",4196,9756,NA
