"LBX157.Code.or.Value","LBX157.Value.Description","LBX157.Count","LBX157.Cumulative","LBX157.Skip.to.Item"
"0.0004 to 0.5544","Range of Values",1858,1858,NA
".","Missing",427,2285,NA
