"CIQG30.Code.or.Value","CIQG30.Value.Description","CIQG30.Count","CIQG30.Cumulative","CIQG30.Skip.to.Item"
"0 to 85","Range of Values",45,45,NA
"777","Refused",0,45,NA
"999","Don't know",0,45,NA
".","Missing",883,928,NA
