"DSQICHL.Code.or.Value","DSQICHL.Value.Description","DSQICHL.Count","DSQICHL.Cumulative","DSQICHL.Skip.to.Item"
"0.005 to 1058","Range of Values",599,599,NA
".","Missing",9385,9984,NA
