"LBDTLY.Code.or.Value","LBDTLY.Value.Description","LBDTLY.Count","LBDTLY.Cumulative","LBDTLY.Skip.to.Item"
"0.7 to 175","Range of Values",7149,7149,NA
".","Missing",937,8086,NA
