"DRD370R.Code.or.Value","DRD370R.Value.Description","DRD370R.Count","DRD370R.Cumulative","DRD370R.Skip.to.Item"
"1","Yes",163,163,""
"2","No",4719,4882,"DRD370S"
".","Missing",4662,9544,""
