"DR2IBCAR.Code.or.Value","DR2IBCAR.Value.Description","DR2IBCAR.Count","DR2IBCAR.Cumulative","DR2IBCAR.Skip.to.Item"
"0 to 28816","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
