"LBXTHG.Code.or.Value","LBXTHG.Value.Description","LBXTHG.Count","LBXTHG.Cumulative","LBXTHG.Skip.to.Item"
"0.2 to 46.39","Range of Values",5215,5215,NA
".","Missing",717,5932,NA
