"AUXLR210.Code.or.Value","AUXLR210.Value.Description","AUXLR210.Count","AUXLR210.Cumulative","AUXLR210.Skip.to.Item"
"-31 to 55","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
