"RFXC137.Code.or.Value","RFXC137.Value.Description","RFXC137.Count","RFXC137.Cumulative","RFXC137.Skip.to.Item"
"-7.79 to 7.524","Range of Values",33675,33675,NA
".","Missing",46,33721,NA
