"KIQ044.Code.or.Value","KIQ044.Value.Description","KIQ044.Count","KIQ044.Cumulative","KIQ044.Skip.to.Item"
"1","Yes",1315,1315,""
"2","No",3549,4864,"KIQ046"
"7","Refused",5,4869,"KIQ046"
"9","Don't know",8,4877,"KIQ046"
".","Missing",692,5569,""
