"DXXPT86Y.Code.or.Value","DXXPT86Y.Value.Description","DXXPT86Y.Count","DXXPT86Y.Cumulative","DXXPT86Y.Skip.to.Item"
"127.9 to 340.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
