"LBDD02LC.Code.or.Value","LBDD02LC.Value.Description","LBDD02LC.Count","LBDD02LC.Cumulative","LBDD02LC.Skip.to.Item"
"0","detectable result",422,422,NA
"1","below detectable limit",817,1239,NA
".","Missing",1308,2547,NA
