"CIQD055.Code.or.Value","CIQD055.Value.Description","CIQD055.Count","CIQD055.Cumulative","CIQD055.Skip.to.Item"
"2 to 72","Range of Values",4,4,NA
"777","Refuse",0,4,NA
"999","Don't know",0,4,NA
".","Missing",774,778,NA
