"DS1ITFAT.Code.or.Value","DS1ITFAT.Value.Description","DS1ITFAT.Count","DS1ITFAT.Cumulative","DS1ITFAT.Skip.to.Item"
"0.01 to 28","Range of Values",521,521,NA
".","Missing",5202,5723,NA
