"URDPMALC.Code.or.Value","URDPMALC.Value.Description","URDPMALC.Count","URDPMALC.Cumulative","URDPMALC.Skip.to.Item"
"0","At or above the detection limit",909,909,NA
"1","Below lower detection limit",1525,2434,NA
".","Missing",171,2605,NA
