"LBXV2A.Code.or.Value","LBXV2A.Value.Description","LBXV2A.Count","LBXV2A.Cumulative","LBXV2A.Skip.to.Item"
"0.0071 to 0.056","Range of Values",3082,3082,NA
".","Missing",463,3545,NA
