"DRD370IQ.Code.or.Value","DRD370IQ.Value.Description","DRD370IQ.Count","DRD370IQ.Cumulative","DRD370IQ.Skip.to.Item"
"1 to 12","Range of Values",180,180,NA
".","Missing",9770,9950,NA
