"MCQ240w.Code.or.Value","MCQ240w.Value.Description","MCQ240w.Count","MCQ240w.Cumulative","MCQ240w.Skip.to.Item"
"3 to 79","Range of Values",53,53,NA
"80","80 years or older",6,59,NA
"77777","Refused",0,59,NA
"99999","Don't know",2,61,NA
".","Missing",9303,9364,NA
