"DXXSATM.Code.or.Value","DXXSATM.Value.Description","DXXSATM.Count","DXXSATM.Cumulative","DXXSATM.Skip.to.Item"
"85.99 to 5101.63","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
