"DRXMC.Code.or.Value","DRXMC.Value.Description","DRXMC.Count","DRXMC.Cumulative","DRXMC.Skip.to.Item"
"100000 to 207604","Range of Values",1730,1730,NA
".","Missing",0,1730,NA
