"OSD030ci.Code.or.Value","OSD030ci.Value.Description","OSD030ci.Count","OSD030ci.Cumulative","OSD030ci.Skip.to.Item"
"47","47",1,1,NA
"85","85 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",4978,4979,NA
