"WTSAU4YR.Code.or.Value","WTSAU4YR.Value.Description","WTSAU4YR.Count","WTSAU4YR.Cumulative","WTSAU4YR.Skip.to.Item"
"1686.6082054 to 213403.65628","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
