"LBXGTC.Code.or.Value","LBXGTC.Value.Description","LBXGTC.Count","LBXGTC.Cumulative","LBXGTC.Skip.to.Item"
"16.4 to 1200","Range of Values",6731,6731,NA
".","Missing",704,7435,NA
