"DUQ380A.Code.or.Value","DUQ380A.Value.Description","DUQ380A.Count","DUQ380A.Cumulative","DUQ380A.Skip.to.Item"
"1","Cocaine",55,55,NA
"7","Refused",0,55,NA
"9","Don't know",1,56,NA
".","Missing",5001,5057,NA
