"PAD675.Code.or.Value","PAD675.Value.Description","PAD675.Count","PAD675.Cumulative","PAD675.Skip.to.Item"
"10 to 720","Range of Values",2651,2651,NA
"7777","Refused",0,2651,NA
"9999","Don't know",1,2652,NA
".","Missing",6707,9359,NA
