"DSQTLZ.Code.or.Value","DSQTLZ.Value.Description","DSQTLZ.Count","DSQTLZ.Cumulative","DSQTLZ.Skip.to.Item"
"0.2 to 25000","Range of Values",731,731,NA
".","Missing",9444,10175,NA
