"DXXTRBMC.Code.or.Value","DXXTRBMC.Value.Description","DXXTRBMC.Count","DXXTRBMC.Cumulative","DXXTRBMC.Skip.to.Item"
"3.3 to 20.45","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
