"DTQ160U.Code.or.Value","DTQ160U.Value.Description","DTQ160U.Count","DTQ160U.Cumulative","DTQ160U.Skip.to.Item"
"1","Day",112,112,NA
"2","Week",1858,1970,NA
"3","Month",4309,6279,NA
"7","Refused",3,6282,NA
"9","Don't know",8,6290,NA
".","Missing",2251,8541,NA
