"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"0.4 to 14.5","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
