"DBQ330.Code.or.Value","DBQ330.Value.Description","DBQ330.Count","DBQ330.Cumulative","DBQ330.Skip.to.Item"
"1","Yes",136,136,NA
"2","No",1433,1569,NA
"7","Refused",1,1570,NA
"9","Don't know",0,1570,NA
".","Missing",8778,10348,NA
