"DS1TPROT.Code.or.Value","DS1TPROT.Value.Description","DS1TPROT.Count","DS1TPROT.Cumulative","DS1TPROT.Skip.to.Item"
"0.05 to 30","Range of Values",140,140,NA
".","Missing",8564,8704,NA
