"DSQIVB1.Code.or.Value","DSQIVB1.Value.Description","DSQIVB1.Count","DSQIVB1.Cumulative","DSQIVB1.Skip.to.Item"
"0.0068 to 600","Range of Values",2446,2446,NA
".","Missing",5839,8285,NA
