"DS2TKCAL.Code.or.Value","DS2TKCAL.Value.Description","DS2TKCAL.Count","DS2TKCAL.Cumulative","DS2TKCAL.Skip.to.Item"
"1 to 520","Range of Values",1064,1064,NA
".","Missing",8274,9338,NA
