"VIQ200.Code.or.Value","VIQ200.Value.Description","VIQ200.Count","VIQ200.Cumulative","VIQ200.Skip.to.Item"
"1","Yes",350,350,""
"2","No",6194,6544,"VIQ220"
"9","Don't know",3,6547,"VIQ220"
".","Missing",433,6980,""
