"OPDSRPE.Code.or.Value","OPDSRPE.Value.Description","OPDSRPE.Count","OPDSRPE.Cumulative","OPDSRPE.Skip.to.Item"
"0","No",2277,2277,NA
"1","Yes",51,2328,NA
".","Missing",606,2934,NA
