"CBQ698i.Code.or.Value","CBQ698i.Value.Description","CBQ698i.Count","CBQ698i.Cumulative","CBQ698i.Skip.to.Item"
"9","I can't read English that well",18,18,NA
".","Missing",2927,2945,NA
