"LBDF01LC.Code.or.Value","LBDF01LC.Value.Description","LBDF01LC.Count","LBDF01LC.Cumulative","LBDF01LC.Skip.to.Item"
"0","detectable result",55,55,NA
"1","below detectable limit",1813,1868,NA
".","Missing",417,2285,NA
