"DS1IMAGN.Code.or.Value","DS1IMAGN.Value.Description","DS1IMAGN.Count","DS1IMAGN.Cumulative","DS1IMAGN.Skip.to.Item"
"0.1 to 1250","Range of Values",1682,1682,NA
".","Missing",4224,5906,NA
