"LBDSGBSI.Code.or.Value","LBDSGBSI.Value.Description","LBDSGBSI.Count","LBDSGBSI.Cumulative","LBDSGBSI.Skip.to.Item"
"16 to 62","Range of Values",6888,6888,NA
".","Missing",557,7445,NA
