"SMQ050U.Code.or.Value","SMQ050U.Value.Description","SMQ050U.Count","SMQ050U.Cumulative","SMQ050U.Skip.to.Item"
"1","Days",12,12,NA
"2","Weeks",21,33,NA
"3","Months",103,136,NA
"4","Years",1376,1512,NA
"7","Refused",0,1512,NA
"9","Don't know",0,1512,NA
".","Missing",6016,7528,NA
