"LBDTT3SI.Code.or.Value","LBDTT3SI.Value.Description","LBDTT3SI.Count","LBDTT3SI.Cumulative","LBDTT3SI.Skip.to.Item"
"1 to 11","Range of Values",6262,6262,NA
".","Missing",655,6917,NA
