"MPD050a.Code.or.Value","MPD050a.Value.Description","MPD050a.Count","MPD050a.Cumulative","MPD050a.Skip.to.Item"
"10","Shoulder - right",456,456,NA
"77","Refused",0,456,NA
"99","Don't know",1,457,NA
".","Missing",4423,4880,NA
