"MCQ160D.Code.or.Value","MCQ160D.Value.Description","MCQ160D.Count","MCQ160D.Cumulative","MCQ160D.Skip.to.Item"
"1","Yes",155,155,"MCQ180D"
"2","No",4807,4962,""
"7","Refused",0,4962,""
"9","Don't know",17,4979,""
".","Missing",4843,9822,""
